source,target
132,29315
384,77831
118,24721
230,48317
645,121929
22,5011
317,63777
940,174279
67,14553
681,133637
251,52577
502,95987
155,32867
507,96331
1125,200073
252,53179
839,157608
794,124654
600,114989
931,173412
656,89257
996,102157
384,78181
118,25071
497,94862
406,86076
411,86420
896,167941
1055,191383
1203,216918
820,156053
458,91901
11,1038
197,39135
304,62387
554,98779
1035,182810
660,128976
126,27591
1229,219270
1234,219614
549,101818
64,13881
539,48671
1199,216395
386,80886
816,155530
1009,184972
968,178555
392,84084
201,39227
68,14754
739,136624
42,9369
687,134182
484,93472
709,137913
784,150330
1087,196182
580,87518
214,42872
652,124547
350,71780
944,59687
862,161540
959,177688
86,17962
561,56916
115,23618
305,330
1218,96850
1149,206078
1214,217807
245,51203
214,43222
1185,215534
659,127596
1149,209461
249,52076
889,165965
443,90788
15,3385
613,59708
1047,189936
596,114415
910,170225
1149,206428
225,10550
577,109477
1130,201490
257,54596
578,112331
296,60940
40,8518
659,127946
719,139331
1068,181364
741,143062
577,106444
491,93838
61,12778
128,7584
1160,213383
813,154427
957,176837
93,14945
577,109827
82,17038
256,45676
84,115
257,54946
406,84116
988,181785
153,31965
348,55064
1130,201840
383,76750
667,695
1157,212331
1191,216079
671,131339
763,147143
992,182658
179,36569
78,16515
957,177187
767,148016
629,119035
369,75539
338,69810
560,103400
886,165643
855,159914
988,182135
136,29702
141,30046
170,35702
241,50629
294,60089
907,169903
876,164174
1240,217819
657,127095
719,11034
222,45691
233,49233
320,64693
166,35179
28,6198
610,116699
566,55300
1090,31134
903,169380
387,82130
254,53493
421,88130
1062,192822
51,10531
570,104468
385,79805
54,10802
1150,211136
796,151763
413,86734
55,11404
222,46041
1149,207501
95,20602
805,152980
949,175390
1113,199176
117,24333
902,169128
940,47755
566,103945
45,9935
690,134748
1149,210884
1149,204468
276,57574
336,68959
1153,211757
1104,198309
750,145352
280,58447
818,155844
1011,185286
654,125642
1149,207851
15,1775
1017,186232
971,179471
1130,202913
204,40143
520,97534
693,135369
980,180688
128,28255
577,107867
939,1113
128,15423
870,162800
132,29128
1218,218194
378,68030
928,954
384,77644
543,101086
118,24534
225,47786
87,18805
577,104834
577,111250
22,4824
833,157256
874,163673
158,33732
971,179821
67,14366
251,52390
128,28605
864,162204
353,73046
155,32680
252,52992
281,58648
824,156389
1058,192248
308,62723
931,173225
262,1251
118,24884
1141,203802
406,85889
1052,63406
12,322
109,22886
913,171141
335,67929
197,38948
586,113591
1086,196144
488,93808
660,128789
126,27404
1000,183568
1229,219083
1266,221594
38,8309
678,132778
775,148926
350,68210
814,155270
29,4059
191,38352
585,113339
968,178368
1047,56996
745,143799
474,86181
122,26881
641,120818
996,183045
18,3900
125,27152
214,42685
350,71593
249,51539
314,63268
713,138599
633,119422
798,6492
148,31485
121,10414
182,37485
86,17775
386,81049
695,136515
698,136786
121,26629
1149,205891
174,36089
623,115701
245,51016
624,118555
1019,50410
214,43035
659,127409
367,75330
526,98772
106,22564
654,78770
1149,209274
443,90601
15,3198
530,99645
265,55805
649,123688
808,134298
577,109290
1130,201303
327,66482
128,10430
296,60753
257,47993
40,8331
578,112144
999,1089
1073,194353
741,142875
1038,188882
577,106257
614,117436
61,12591
1160,213196
808,153896
957,176650
577,109640
737,142352
257,54759
578,112494
892,15902
988,181598
339,69875
369,49338
666,130808
78,113
758,146612
992,182471
956,176398
140,30038
1019,186546
78,16328
421,452
436,89406
733,141829
767,147829
957,177000
687,128652
1107,198444
338,69623
82,17201
855,159727
952,175875
170,35515
329,58957
267,51663
550,70445
289,59558
350,34170
973,180135
222,45504
233,49046
390,82995
607,116241
948,175352
218,35182
161,34648
28,6011
610,116512
826,127656
1062,192635
387,81943
872,163464
416,87599
877,163808
1122,199856
385,79618
842,158337
730,124161
796,151576
840,158264
1020,186747
55,11217
222,45854
24,5488
606,115989
1149,207314
182,412
117,24146
822,156180
610,116862
1061,192383
80,135
694,125635
45,9748
719,140217
729,140905
1149,210697
1149,204281
51,10694
336,68772
602,115466
1153,211570
1104,198122
1006,184755
654,125455
1149,207664
41,9225
1017,186045
1130,202726
781,150113
229,48122
265,47779
286,361
252,29824
644,121734
128,28068
553,102368
693,135182
577,107680
787,151059
975,180157
1103,197870
870,162613
6,721
680,133442
685,133786
132,28941
811,5844
1218,218007
384,77457
543,100899
577,111063
225,47599
833,157069
747,144463
891,166873
865,161488
971,179634
410,86225
895,167746
1054,191188
864,162017
113,23222
635,120086
534,100032
921,172350
1075,195448
1080,195792
1090,196480
922,168788
87,18968
1050,190665
1141,203615
1238,219763
913,170954
498,95090
815,155335
197,38761
391,83889
1040,189196
17,3862
356,49371
686,133987
488,93621
660,128602
126,27217
1229,218896
395,84762
325,66273
492,94494
497,94838
678,132591
775,148739
739,142666
329,67146
196,38509
585,113152
1031,188329
1188,215862
223,46748
1195,216279
745,143612
448,91189
458,91877
122,26694
641,120631
779,149612
751,824
214,42498
831,90927
122,13862
350,71406
347,54139
1091,196681
126,27567
677,132339
15,2661
95,15422
769,148143
86,17588
248,51881
121,26442
536,100054
541,100398
1090,55351
1149,205704
474,92760
1229,22706
240,50485
1046,189741
214,42848
367,75143
619,98776
106,22377
857,161172
1149,209087
438,90070
15,3011
587,112824
527,99187
848,159174
128,13276
827,151881
767,27721
103,21325
808,153359
1042,189218
292,59693
297,60037
31,6927
577,109103
269,56491
746,126817
1130,201116
578,111957
296,60566
388,82786
844,158651
807,134640
159,34439
1156,212136
118,25770
582,112830
645,122978
348,70555
577,106070
1226,217793
670,131144
1160,213009
808,153709
957,176463
1039,55362
354,54505
802,120683
577,109453
257,54572
578,112307
1029,187828
798,152240
1058,187068
1166,1200
57,11881
798,139408
236,49561
118,26120
580,1076
758,146425
727,140696
953,175940
1020,89270
568,104422
957,176813
979,180544
984,180888
982,180815
818,19334
13,1379
385,79081
785,150850
222,45317
626,114576
233,48859
1070,193844
607,116054
350,72829
1122,199669
387,81756
611,116927
872,163277
643,121346
20,4428
385,79431
310,47766
840,158077
55,11030
222,45667
893,167537
50,106
1052,190979
1149,207127
542,568
90,19884
1207,9818
279,58252
610,116675
741,30956
719,140030
1149,210510
14,1580
680,74811
730,108109
399,85149
51,10507
336,68585
602,115279
1048,190456
54,10778
1150,211112
796,151739
1003,184297
1006,184568
654,125268
1149,207477
41,9038
500,95754
1130,202539
1136,59751
781,149926
1129,180437
45,9911
690,134724
619,100549
1100,197412
644,121547
480,87181
128,27881
98,123
577,107493
66,14171
133,8977
1,190
680,133255
750,145328
446,90980
154,32485
384,77270
577,110876
251,338
891,166686
1130,202889
547,101585
180,37089
62,13648
635,119899
242,47766
702,137336
1075,195261
1218,218170
580,47761
87,18781
273,56878
891,167036
855,160963
860,161307
37,8114
110,23114
1177,215136
113,23385
917,171640
391,83702
744,143604
452,91525
1151,1160
744,137188
325,66086
673,132060
1163,213925
717,138748
770,148208
739,142479
913,171117
329,66959
580,112621
1031,188142
270,364
1186,13397
641,120444
156,32507
214,42311
350,71219
708,137881
126,27380
766,147685
1000,183544
735,141956
15,2474
121,10040
633,99800
248,51694
664,130412
1149,205517
699,137014
1046,189554
18,3876
214,42661
35,847
367,74956
1099,179766
106,22190
1149,208900
633,119398
884,165060
15,2824
848,158987
527,99000
1072,194158
274,53265
695,136491
1037,188687
323,65235
174,36065
31,6740
613,117241
618,117585
380,478
577,108916
655,126512
1125,200585
619,118187
624,118531
429,89016
296,60379
388,82599
255,53962
578,111770
844,158464
909,170193
225,19788
159,34252
526,98748
736,142157
384,78693
1156,211949
118,25583
645,122791
577,105883
939,47424
354,73566
665,130613
808,153522
1016,1069
905,169670
1064,193112
577,109266
600,86804
732,141634
1152,211426
578,112120
88,19675
798,152053
211,41208
1027,187568
344,50597
118,25933
283,58989
1014,185828
1062,192791
568,104235
73,15610
692,135038
1023,187045
207,40685
730,833
555,102495
662,129911
845,158665
8,848
385,78894
69,15087
236,49724
135,29670
140,30014
222,45130
975,50063
336,16370
1107,198420
1251,220830
23,5293
350,72642
387,81569
872,163090
301,319
643,121159
969,179238
20,4241
385,79244
513,96957
289,59534
316,63609
893,167350
1149,206940
288,55899
607,116217
610,116488
455,1136
214,44084
504,96090
217,44355
659,128458
719,139843
1149,210323
296,325
336,68398
132,12002
20,4591
